company,category,buyer_role_target,priority_bucket,linkedin_search_query,verify_before_sending,channel_priority,personalization_UA,first_DM_UA,follow_up_1_UA,personalization_RU,first_DM_RU,follow_up_1_RU,status
Mate academy,IT/coding,Head of Admissions / Head of Sales / CMO,A,"""Mate academy"" (""Head of Admissions"" OR ""Head of Sales"")",ЛПР; чи пишуть admissions-дзвінки,LinkedIn > Email,Модель «оплата після працевлаштування» тримається саме на якості admissions-дзвінків.,"[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. Модель «оплата після працевлаштування» тримається саме на якості admissions-дзвінків. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Mate academy. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Модель «оплата после трудоустройства» держится именно на качестве admissions-звонков.,"[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. Модель «оплата после трудоустройства» держится именно на качестве admissions-звонков. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Mate academy. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Hillel IT School,IT/coding,Head of Sales,A,"""Hillel IT School"" (""Head of Sales"" OR ""продажів"")",ЛПР; CRM/телефонія,LinkedIn > Email,Ціну ви називаєте в дзвінку — отже діалог менеджера і визначає угоду.,"[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. Ціну ви називаєте в дзвінку — отже діалог менеджера і визначає угоду. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Hillel IT School. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Цену вы называете в звонке — значит диалог менеджера и определяет сделку.,"[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. Цену вы называете в звонке — значит диалог менеджера и определяет сделку. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Hillel IT School. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
GoIT,IT/coding,CMO / Head of Sales,A,"""GoIT"" (""Head of Sales"" OR ""CMO"")",UA vs глобальна команда; ЛПР,LinkedIn > Email,При вашому потоці заявок навіть невеликий % втрати в дзвінку — це відчутні гроші.,"[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. При вашому потоці заявок навіть невеликий % втрати в дзвінку — це відчутні гроші. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для GoIT. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",При вашем потоке заявок даже небольшой % потери в звонке — это ощутимые деньги.,"[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. При вашем потоке заявок даже небольшой % потери в звонке — это ощутимые деньги. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для GoIT. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
robot_dreams,IT/coding,Head of Sales,A,"(""robot_dreams"" OR ""robot dreams"") ""Head of Sales""",домен; ЛПР,LinkedIn > Email,"Курс дорогий — довгий діалог дає багато точок, де менеджер відпускає клієнта.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Курс дорогий — довгий діалог дає багато точок, де менеджер відпускає клієнта. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Курс дорогой — длинный диалог даёт много точек, где менеджер отпускает клиента.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Курс дорогой — длинный диалог даёт много точек, где менеджер отпускает клиента. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Beetroot Academy,IT/coding,Head of Sales,B,"""Beetroot Academy"" ""Head of Sales""",активність продажів; домен,LinkedIn > Email,Платний курс із дожимом — клієнти легко відкладають рішення на «подумаю».,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Платний курс із дожимом — клієнти легко відкладають рішення на «подумаю». За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Платный курс с дожимом — клиенты легко откладывают решение на «подумаю».,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Платный курс с дожимом — клиенты легко откладывают решение на «подумаю». За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
DAN.IT,IT/coding,Head of Sales,B,"(""DAN.IT"" OR ""DAN IT"") ""sales"" Ukraine",статус/домен; ЛПР,Email > LinkedIn,Курс дорогий — одна врятована заявка вже окуповує роботу.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Курс дорогий — одна врятована заявка вже окуповує роботу. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Курс дорогой — одна спасённая заявка уже окупает работу.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Курс дорогой — одна спасённая заявка уже окупает работу. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
FoxmindEd,IT/coding,Owner / Sales,B,"""FoxmindEd"" (founder OR sales) Ukraine",обсяг продажів; домен,Telegram > LinkedIn,Менторський формат — оплата вирішується саме в консультаційному дзвінку.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Менторський формат — оплата вирішується саме в консультаційному дзвінку. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Менторский формат — оплата решается именно в консультационном звонке.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Менторский формат — оплата решается именно в консультационном звонке. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Computer Academy STEP / IT STEP,IT/coding,Head of Sales,B,"(""IT STEP"" OR ""Computer Academy STEP"") ""продажів""",централізація продажів; ЛПР,LinkedIn > Email,При мережі менеджерів якість дзвінків неоднорідна — і це помітно впливає на виручку.,"[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. При мережі менеджерів якість дзвінків неоднорідна — і це помітно впливає на виручку. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Computer Academy STEP / IT STEP. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",При сети менеджеров качество звонков неоднородно — и это заметно влияет на выручку.,"[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. При сети менеджеров качество звонков неоднородно — и это заметно влияет на выручку. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Computer Academy STEP / IT STEP. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Powercode Academy,IT/coding,Sales / Owner,C,"""Powercode Academy"" ""sales"" Ukraine",існування/статус; домен,Email > Telegram,Курс дорогий — ефект помітний уже з однієї врятованої заявки.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Курс дорогий — ефект помітний уже з однієї врятованої заявки. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Курс дорогой — эффект заметен уже с одной спасённой заявки.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Курс дорогой — эффект заметен уже с одной спасённой заявки. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Ш++ (Sh++),IT/coding,Owner / Sales,C,"(""Ш++"" OR ""Sh++"") (founder OR sales)",розмір; чи є відділ продажів,Telegram > Instagram,Якщо продаж іде через менеджера — саме там і вирішується оплата.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Якщо продаж іде через менеджера — саме там і вирішується оплата. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Если продажа идёт через менеджера — именно там и решается оплата.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Если продажа идёт через менеджера — именно там и решается оплата. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Logos IT Academy,IT/coding,Head of Sales,C,"""Logos IT Academy"" ""sales"" Ukraine",статус; ЛПР,Email > LinkedIn,У форматі онлайн+офлайн втрати розподілені по точках контакту — їх важко побачити без зрізу.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. У форматі онлайн+офлайн втрати розподілені по точках контакту — їх важко побачити без зрізу. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",В формате онлайн+офлайн потери распределены по точкам контакта — их трудно увидеть без среза.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. В формате онлайн+офлайн потери распределены по точкам контакта — их трудно увидеть без среза. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Neoversity (GoIT),IT/coding,Head of Sales,B,"""Neoversity"" (sales OR admissions)",окрема воронка від GoIT; ЛПР,LinkedIn > Email,На запуску нового продукту воронка продажів зазвичай найвразливіша.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. На запуску нового продукту воронка продажів зазвичай найвразливіша. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",На запуске нового продукта воронка продаж обычно наиболее уязвима.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. На запуске нового продукта воронка продаж обычно наиболее уязвима. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
TestPro (QA school),IT/coding,Owner / Head of Sales,C,"""TestPro"" (QA OR sales) Ukraine",існування/модель; домен,Telegram > Email,"Вузька QA-аудиторія — кожна заявка дорога, тож втрата в дзвінку коштує особливо багато.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Вузька QA-аудиторія — кожна заявка дорога, тож втрата в дзвінку коштує особливо багато. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Узкая QA-аудитория — каждая заявка дорогая, поэтому потеря в звонке стоит особенно много.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Узкая QA-аудитория — каждая заявка дорогая, поэтому потеря в звонке стоит особенно много. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
ITVDN / CyberBionic,IT/coding,Head of Sales,C,"(""ITVDN"" OR ""CyberBionic"") ""продажів""",чи є дзвінки vs self-serve,Email > LinkedIn,Великий каталог — без кваліфікації в дзвінку клієнт не знаходить «свій» курс.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Великий каталог — без кваліфікації в дзвінку клієнт не знаходить «свій» курс. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Большой каталог — без квалификации в звонке клиент не находит «свой» курс.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Большой каталог — без квалификации в звонке клиент не находит «свой» курс. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
SoftServe IT Academy,IT/coding,Head of Sales / Program Lead,B,"""SoftServe IT Academy"" (sales OR admissions)",чи є комерційні дзвінки (vs free),LinkedIn > Email,"Великий потік кандидатів — відповідно, і простір для помилок на дзвінках відбору великий.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Великий потік кандидатів — відповідно, і простір для помилок на дзвінках відбору великий. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Большой поток кандидатов — соответственно, и пространство для ошибок на звонках отбора большое.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Большой поток кандидатов — соответственно, и пространство для ошибок на звонках отбора большое. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Laba,professional,Commercial Director / Head of Sales,A,"(""Laba"" OR ""Laba Group"") (""Head of Sales"" OR ""комерційний директор"")",ЛПР; чи пишуть дзвінки,LinkedIn > Email,"У вас десятки програм — менеджеру важливо точно кваліфікувати потребу, і саме тут найбільший ризик втрати.","[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. У вас десятки програм — менеджеру важливо точно кваліфікувати потребу, і саме тут найбільший ризик втрати. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Laba. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","У вас десятки программ — менеджеру важно точно квалифицировать потребность, и именно здесь наибольший риск потери.","[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. У вас десятки программ — менеджеру важно точно квалифицировать потребность, и именно здесь наибольший риск потери. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Laba. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
